Title,Year,Rating,Link
Strangers on a Train,1951,98%,https://www.rottentomatoes.com/m/strangers_on_a_train
Sling Blade,1996,97%,https://www.rottentomatoes.com/m/sling_blade
Kubo and the Two Strings,2016,97%,https://www.rottentomatoes.com/m/kubo_and_the_two_strings_2016
Sweet Smell of Success,1957,98%,https://www.rottentomatoes.com/m/sweet_smell_of_success
The Thin Man,1934,98%,https://www.rottentomatoes.com/m/thin_man
Once Upon a Time in the West,1968,96%,https://www.rottentomatoes.com/m/once_upon_a_time_in_the_west
Eternal Sunshine of the Spotless Mind,2004,92%,https://www.rottentomatoes.com/m/eternal_sunshine_of_the_spotless_mind
Sense and Sensibility,1995,97%,https://www.rottentomatoes.com/m/1068832-sense_and_sensibility
BlacKkKlansman,2018,96%,https://www.rottentomatoes.com/m/blackkklansman
Lost in Translation,2003,95%,https://www.rottentomatoes.com/m/lost_in_translation
Au Hasard Balthazar,1966,100%,https://www.rottentomatoes.com/m/au_hasard_balthazar
Boyhood,2014,97%,https://www.rottentomatoes.com/m/boyhood
The Grapes of Wrath,1940,100%,https://www.rottentomatoes.com/m/grapes_of_wrath
Sing Street,2016,95%,https://www.rottentomatoes.com/m/sing_street
A Fistful of Dollars,1964,98%,https://www.rottentomatoes.com/m/fistful_of_dollars
The Truman Show,1998,94%,https://www.rottentomatoes.com/m/truman_show
Life of Brian,1979,96%,https://www.rottentomatoes.com/m/monty_pythons_life_of_brian
8 1/2,1963,97%,https://www.rottentomatoes.com/m/8-12
Marriage Story,2019,95%,https://www.rottentomatoes.com/m/marriage_story_2019
Searching for Bobby Fischer,1993,100%,https://www.rottentomatoes.com/m/searching_for_bobby_fischer
Battleship Potemkin,1925,100%,https://www.rottentomatoes.com/m/battleship_potemkin
Sullivan's Travels,1941,100%,https://www.rottentomatoes.com/m/sullivans_travels
The Red Circle,1970,96%,https://www.rottentomatoes.com/m/le_cercle_rouge
The Lost Weekend,1945,97%,https://www.rottentomatoes.com/m/lost_weekend
Tim Burton's The Nightmare Before Christmas,1993,95%,https://www.rottentomatoes.com/m/the_nightmare_before_christmas
Oppenheimer,2023,93%,https://www.rottentomatoes.com/m/oppenheimer_2023
The Discreet Charm of the Bourgeoisie,1972,98%,https://www.rottentomatoes.com/m/the_discreet_charm_of_the_bourgeoisie
The Lord of the Rings: The Fellowship of the Ring,2001,92%,https://www.rottentomatoes.com/m/the_lord_of_the_rings_the_fellowship_of_the_ring
Ford v Ferrari,2019,92%,https://www.rottentomatoes.com/m/ford_v_ferrari
My Left Foot,1989,98%,https://www.rottentomatoes.com/m/my_left_foot
Room,2015,93%,https://www.rottentomatoes.com/m/room_2015
The Lord of the Rings: The Return of the King,2003,94%,https://www.rottentomatoes.com/m/the_lord_of_the_rings_the_return_of_the_king
A Night at the Opera,1935,97%,https://www.rottentomatoes.com/m/1015002-night_at_the_opera
Halloween,1978,96%,https://www.rottentomatoes.com/m/1009113-halloween
Air,2023,93%,https://www.rottentomatoes.com/m/air_2023
The Sweet Hereafter,1997,98%,https://www.rottentomatoes.com/m/sweet_hereafter
Playtime,1967,98%,https://www.rottentomatoes.com/m/playtime
True Grit,2010,95%,https://www.rottentomatoes.com/m/true_grit_2010
A Quiet Place,2018,96%,https://www.rottentomatoes.com/m/a_quiet_place_2018
Mudbound,2017,97%,https://www.rottentomatoes.com/m/mudbound
Boyz N the Hood,1991,96%,https://www.rottentomatoes.com/m/boyz_n_the_hood
Brazil,1985,98%,https://www.rottentomatoes.com/m/1003033-brazil
Hidden Figures,2016,93%,https://www.rottentomatoes.com/m/hidden_figures
Grand Illusion,1937,97%,https://www.rottentomatoes.com/m/la_grande_illusion
The Conversation,1974,93%,https://www.rottentomatoes.com/m/the_conversation
Fargo,1996,95%,https://www.rottentomatoes.com/m/fargo
Diabolique,1955,95%,https://www.rottentomatoes.com/m/1032980-diabolique
The Apartment,1960,93%,https://www.rottentomatoes.com/m/1001115-apartment
Apollo 13,1995,96%,https://www.rottentomatoes.com/m/apollo_13
Princess Mononoke,1997,93%,https://www.rottentomatoes.com/m/princess_mononoke
Umberto D,1952,98%,https://www.rottentomatoes.com/m/umberto_d
Black Panther,2018,96%,https://www.rottentomatoes.com/m/black_panther_2018
Bringing Up Baby,1938,97%,https://www.rottentomatoes.com/m/bringing_up_baby
The Sting,1973,93%,https://www.rottentomatoes.com/m/1020130-sting
Logan,2017,93%,https://www.rottentomatoes.com/m/logan_2017
Nightcrawler,2014,95%,https://www.rottentomatoes.com/m/nightcrawler
The Departed,2006,91%,https://www.rottentomatoes.com/m/departed
Juno,2007,93%,https://www.rottentomatoes.com/m/juno
Hero,2002,94%,https://www.rottentomatoes.com/m/hero
Shaun of the Dead,2004,92%,https://www.rottentomatoes.com/m/shaun_of_the_dead
Stagecoach,1939,100%,https://www.rottentomatoes.com/m/1019774-stagecoach
Back to the Future,1985,93%,https://www.rottentomatoes.com/m/back_to_the_future
Die Hard,1988,94%,https://www.rottentomatoes.com/m/die_hard
No Country for Old Men,2007,93%,https://www.rottentomatoes.com/m/no_country_for_old_men
